[supervisor] 2026-08-17T22:26:45+05:30 waiting for data preparation to finish...
[supervisor] 2026-08-17T22:26:45+05:30 data ready: 5000186213 tokens
[supervisor] 2026-08-17T22:26:45+05:30 attempt 1: resuming from step 14000
[supervisor] launching on CUDA_VISIBLE_DEVICES=0 with nproc_per_node=1
Model vocab_size 50304 > tokenizer vocab_size 50259 (45 unused padding rows, kept for tensor-core alignment)
Data: 4,900,186,213 train tokens / 100,000,000 val tokens (9,570,651 windows at stride 512)
Model: medium (123,587,328 parameters)
Resumed from checkpoints/medium/step_14000.pt at step 14000
step  14001 | train_loss 3.2546 | lr 1.76e-04
step  14098 | train_loss 3.2335 | lr 1.72e-04
step  14099 | train_loss 3.2124 | lr 1.72e-04
step  14100 | train_loss 3.2371 | lr 1.72e-04
step  14101 | train_loss 3.2802 | lr 1.72e-04
step  14102 | train_loss 3.2304 | lr 1.72e-04
step  14103 | train_loss 3.2134 | lr 1.72e-04
step  14104 | train_loss 3.3004 | lr 1.72e-04
step  14105 | train_loss 3.2621 | lr 1.72e-04
step  14106 | train_loss 3.2574 | lr 1.72e-04
step  14107 | train_loss 3.2440 | lr 1.72e-04
step  14108 | train_loss 3.2804 | lr 1.72e-04
step  14109 | train_loss 3.2398 | lr 1.72e-04
step  14110 | train_loss 3.2562 | lr 1.72e-04
step  14111 | train_loss 3.2182 | lr 1.72e-04
step  14112 | train_loss 3.2314 | lr 1.72e-04
step  14113 | train_loss 3.2391 | lr 1.72e-04
step  14114 | train_loss 3.1811 | lr 1.72e-04
step  14115 | train_loss 3.2694 | lr 1.72e-04
step  14116 | train_loss 3.2518 | lr 1.71e-04
step  14117 | train_loss 3.2769 | lr 1.71e-04
step  14118 | train_loss 3.2593 | lr 1.71e-04
step  14119 | train_loss 3.2512 | lr 1.71e-04
step  14120 | train_loss 3.2529 | lr 1.71e-04
step  14121 | train_loss 3.2436 | lr 1.71e-04
step  14122 | train_loss 3.2260 | lr 1.71e-04
step  14123 | train_loss 3.2691 | lr 1.71e-04
step  14124 | train_loss 3.2367 | lr 1.71e-04
step  14125 | train_loss 3.2242 | lr 1.71e-04
step  14126 | train_loss 3.2466 | lr 1.71e-04
step  14127 | train_loss 3.2584 | lr 1.71e-04
step  14128 | train_loss 3.1937 | lr 1.71e-04
step  14129 | train_loss 3.2502 | lr 1.71e-04
step  14130 | train_loss 3.3028 | lr 1.71e-04
step  14131 | train_loss 3.2222 | lr 1.71e-04
step  14132 | train_loss 3.2706 | lr 1.71e-04
step  14133 | train_loss 3.2456 | lr 1.71e-04
step  14134 | train_loss 3.2279 | lr 1.71e-04
step  14135 | train_loss 3.2729 | lr 1.71e-04
step  14136 | train_loss 3.2606 | lr 1.71e-04
step  14137 | train_loss 3.2517 | lr 1.71e-04
step  14138 | train_loss 3.2989 | lr 1.71e-04
step  14139 | train_loss 3.2190 | lr 1.71e-04
step  14140 | train_loss 3.2672 | lr 1.71e-04
step  14141 | train_loss 3.2302 | lr 1.71e-04
step  14142 | train_loss 3.2153 | lr 1.71e-04
step  14143 | train_loss 3.2510 | lr 1.71e-04
step  14144 | train_loss 3.2299 | lr 1.70e-04
step  14145 | train_loss 3.2851 | lr 1.70e-04
step  14146 | train_loss 3.2485 | lr 1.70e-04
step  14147 | train_loss 3.2587 | lr 1.70e-04
step  14148 | train_loss 3.2949 | lr 1.70e-04
step  14149 | train_loss 3.2508 | lr 1.70e-04
step  14150 | train_loss 3.2682 | lr 1.70e-04
step  14151 | train_loss 3.2665 | lr 1.70e-04
step  14152 | train_loss 3.2504 | lr 1.70e-04
step  14153 | train_loss 3.2637 | lr 1.70e-04
step  14154 | train_loss 3.2318 | lr 1.70e-04
step  14155 | train_loss 3.2686 | lr 1.70e-04
step  14156 | train_loss 3.2605 | lr 1.70e-04
step  14157 | train_loss 3.2443 | lr 1.70e-04
step  14158 | train_loss 3.2522 | lr 1.70e-04
step  14159 | train_loss 3.2540 | lr 1.70e-04
step  14160 | train_loss 3.2860 | lr 1.70e-04
step  14161 | train_loss 3.2453 | lr 1.70e-04
step  14162 | train_loss 3.2743 | lr 1.70e-04
step  14163 | train_loss 3.2978 | lr 1.70e-04
step  14164 | train_loss 3.2331 | lr 1.70e-04
step  14165 | train_loss 3.2413 | lr 1.70e-04
step  14166 | train_loss 3.2256 | lr 1.70e-04
step  14167 | train_loss 3.2652 | lr 1.70e-04
step  14168 | train_loss 3.2627 | lr 1.70e-04
step  14169 | train_loss 3.2388 | lr 1.70e-04
step  14170 | train_loss 3.2188 | lr 1.70e-04
step  14171 | train_loss 3.2570 | lr 1.70e-04
step  14172 | train_loss 3.2548 | lr 1.70e-04
step  14173 | train_loss 3.2301 | lr 1.69e-04
step  14174 | train_loss 3.1934 | lr 1.69e-04
step  14175 | train_loss 3.2082 | lr 1.69e-04
step  14176 | train_loss 3.2526 | lr 1.69e-04
step  14177 | train_loss 3.2647 | lr 1.69e-04
step  14178 | train_loss 3.2418 | lr 1.69e-04
step  14179 | train_loss 3.2385 | lr 1.69e-04
step  14180 | train_loss 3.2707 | lr 1.69e-04
step  14181 | train_loss 3.2149 | lr 1.69e-04
step  14182 | train_loss 3.2816 | lr 1.69e-04
step  14183 | train_loss 3.2487 | lr 1.69e-04
step  14184 | train_loss 3.2860 | lr 1.69e-04
step  14185 | train_loss 3.2439 | lr 1.69e-04
step  14186 | train_loss 3.2619 | lr 1.69e-04
step  14187 | train_loss 3.2611 | lr 1.69e-04
step  14188 | train_loss 3.2209 | lr 1.69e-04
step  14189 | train_loss 3.2813 | lr 1.69e-04
step  14190 | train_loss 3.2350 | lr 1.69e-04
step  14191 | train_loss 3.2687 | lr 1.69e-04
step  14192 | train_loss 3.2404 | lr 1.69e-04
step  14193 | train_loss 3.3102 | lr 1.69e-04
step  14194 | train_loss 3.2484 | lr 1.69e-04
step  14195 | train_loss 3.2533 | lr 1.69e-04
step  14196 | train_loss 3.2496 | lr 1.69e-04
step  14197 | train_loss 3.2519 | lr 1.69e-04
step  14198 | train_loss 3.2689 | lr 1.69e-04
step  14199 | train_loss 3.2105 | lr 1.69e-04
step  14200 | train_loss 3.3075 | lr 1.69e-04
step  14201 | train_loss 3.2467 | lr 1.69e-04
step  14202 | train_loss 3.2594 | lr 1.68e-04
step  14203 | train_loss 3.2594 | lr 1.68e-04
step  14204 | train_loss 3.2617 | lr 1.68e-04
step  14205 | train_loss 3.2754 | lr 1.68e-04
step  14206 | train_loss 3.1852 | lr 1.68e-04
step  14207 | train_loss 3.2091 | lr 1.68e-04
step  14208 | train_loss 3.3101 | lr 1.68e-04
step  14209 | train_loss 3.2733 | lr 1.68e-04
step  14210 | train_loss 3.1960 | lr 1.68e-04
step  14211 | train_loss 3.2872 | lr 1.68e-04
step  14212 | train_loss 3.2161 | lr 1.68e-04
step  14213 | train_loss 3.2689 | lr 1.68e-04
step  14214 | train_loss 3.2801 | lr 1.68e-04
step  14215 | train_loss 3.2582 | lr 1.68e-04
step  14216 | train_loss 3.2903 | lr 1.68e-04
step  14217 | train_loss 3.2012 | lr 1.68e-04
step  14218 | train_loss 3.2182 | lr 1.68e-04
step  14219 | train_loss 3.2515 | lr 1.68e-04
step  14220 | train_loss 3.2016 | lr 1.68e-04
step  14221 | train_loss 3.2208 | lr 1.68e-04
step  14222 | train_loss 3.2273 | lr 1.68e-04
step  14223 | train_loss 3.2685 | lr 1.68e-04
step  14224 | train_loss 3.1787 | lr 1.68e-04
step  14225 | train_loss 3.2367 | lr 1.68e-04
step  14226 | train_loss 3.2480 | lr 1.68e-04
step  14227 | train_loss 3.2592 | lr 1.68e-04
step  14228 | train_loss 3.1741 | lr 1.68e-04
step  14229 | train_loss 3.2083 | lr 1.68e-04
step  14230 | train_loss 3.2285 | lr 1.68e-04
step  14231 | train_loss 3.2403 | lr 1.67e-04
step  14232 | train_loss 3.2469 | lr 1.67e-04
step  14233 | train_loss 3.2172 | lr 1.67e-04
step  14234 | train_loss 3.2293 | lr 1.67e-04
step  14235 | train_loss 3.2291 | lr 1.67e-04
step  14236 | train_loss 3.2497 | lr 1.67e-04
step  14237 | train_loss 3.2877 | lr 1.67e-04
step  14238 | train_loss 3.2500 | lr 1.67e-04
step  14239 | train_loss 3.2204 | lr 1.67e-04
step  14240 | train_loss 3.2156 | lr 1.67e-04
step  14241 | train_loss 3.2792 | lr 1.67e-04
step  14242 | train_loss 3.2325 | lr 1.67e-04
step  14243 | train_loss 3.2746 | lr 1.67e-04
step  14244 | train_loss 3.2247 | lr 1.67e-04
step  14245 | train_loss 3.2354 | lr 1.67e-04
step  14246 | train_loss 3.2436 | lr 1.67e-04
step  14247 | train_loss 3.1954 | lr 1.67e-04
step  14248 | train_loss 3.2470 | lr 1.67e-04
step  14249 | train_loss 3.2712 | lr 1.67e-04
step  14250 | train_loss 3.2283 | lr 1.67e-04
step  14251 | train_loss 3.2788 | lr 1.67e-04
step  14252 | train_loss 3.2953 | lr 1.67e-04
step  14253 | train_loss 3.2588 | lr 1.67e-04
step  14254 | train_loss 3.2314 | lr 1.67e-04
step  14255 | train_loss 3.2924 | lr 1.67e-04
step  14256 | train_loss 3.2557 | lr 1.67e-04
step  14257 | train_loss 3.2644 | lr 1.67e-04
step  14258 | train_loss 3.2714 | lr 1.67e-04
step  14259 | train_loss 3.2421 | lr 1.67e-04
step  14260 | train_loss 3.2721 | lr 1.66e-04
step  14261 | train_loss 3.2951 | lr 1.66e-04
step  14262 | train_loss 3.2112 | lr 1.66e-04
step  14263 | train_loss 3.2561 | lr 1.66e-04
step  14264 | train_loss 3.2874 | lr 1.66e-04
step  14265 | train_loss 3.2311 | lr 1.66e-04
step  14266 | train_loss 3.2045 | lr 1.66e-04
step  14267 | train_loss 3.1892 | lr 1.66e-04
step  14268 | train_loss 3.2155 | lr 1.66e-04
step  14269 | train_loss 3.2714 | lr 1.66e-04
step  14270 | train_loss 3.2553 | lr 1.66e-04
step  14271 | train_loss 3.2438 | lr 1.66e-04
step  14272 | train_loss 3.2461 | lr 1.66e-04
step  14273 | train_loss 3.2380 | lr 1.66e-04
step  14274 | train_loss 3.2241 | lr 1.66e-04
step  14275 | train_loss 3.2524 | lr 1.66e-04
step  14276 | train_loss 3.2597 | lr 1.66e-04
step  14277 | train_loss 3.2427 | lr 1.66e-04
step  14278 | train_loss 3.2474 | lr 1.66e-04
step  14279 | train_loss 3.2371 | lr 1.66e-04
step  14280 | train_loss 3.2537 | lr 1.66e-04
step  14281 | train_loss 3.2666 | lr 1.66e-04
step  14282 | train_loss 3.2284 | lr 1.66e-04
step  14283 | train_loss 3.2100 | lr 1.66e-04
step  14284 | train_loss 3.2525 | lr 1.66e-04
step  14285 | train_loss 3.2035 | lr 1.66e-04
step  14286 | train_loss 3.2627 | lr 1.66e-04
step  14287 | train_loss 3.2674 | lr 1.66e-04
step  14288 | train_loss 3.2340 | lr 1.66e-04
step  14289 | train_loss 3.2740 | lr 1.65e-04
step  14290 | train_loss 3.2104 | lr 1.65e-04
step  14291 | train_loss 3.2106 | lr 1.65e-04
step  14292 | train_loss 3.2306 | lr 1.65e-04
step  14293 | train_loss 3.2988 | lr 1.65e-04
step  14294 | train_loss 3.2573 | lr 1.65e-04
step  14295 | train_loss 3.2391 | lr 1.65e-04
step  14296 | train_loss 3.2438 | lr 1.65e-04
step  14297 | train_loss 3.2182 | lr 1.65e-04
step  14298 | train_loss 3.1907 | lr 1.65e-04
step  14299 | train_loss 3.2230 | lr 1.65e-04
step  14300 | train_loss 3.2225 | lr 1.65e-04
step  14301 | train_loss 3.2468 | lr 1.65e-04
step  14302 | train_loss 3.1808 | lr 1.65e-04
step  14303 | train_loss 3.2685 | lr 1.65e-04
step  14304 | train_loss 3.2888 | lr 1.65e-04
step  14305 | train_loss 3.1894 | lr 1.65e-04
step  14306 | train_loss 3.2732 | lr 1.65e-04
step  14307 | train_loss 3.2200 | lr 1.65e-04
step  14308 | train_loss 3.2393 | lr 1.65e-04
step  14309 | train_loss 3.2540 | lr 1.65e-04
step  14310 | train_loss 3.2557 | lr 1.65e-04
step  14311 | train_loss 3.2410 | lr 1.65e-04
step  14312 | train_loss 3.2753 | lr 1.65e-04
step  14313 | train_loss 3.2224 | lr 1.65e-04
step  14314 | train_loss 3.2481 | lr 1.65e-04
step  14315 | train_loss 3.1973 | lr 1.65e-04
step  14316 | train_loss 3.2828 | lr 1.65e-04
step  14317 | train_loss 3.2431 | lr 1.65e-04
step  14318 | train_loss 3.2552 | lr 1.64e-04
step  14319 | train_loss 3.2339 | lr 1.64e-04
step  14320 | train_loss 3.2350 | lr 1.64e-04
step  14321 | train_loss 3.2454 | lr 1.64e-04
step  14322 | train_loss 3.2462 | lr 1.64e-04
step  14323 | train_loss 3.2554 | lr 1.64e-04
step  14324 | train_loss 3.2755 | lr 1.64e-04
step  14325 | train_loss 3.2596 | lr 1.64e-04
step  14326 | train_loss 3.2423 | lr 1.64e-04
step  14327 | train_loss 3.2316 | lr 1.64e-04
step  14328 | train_loss 3.2248 | lr 1.64e-04
step  14329 | train_loss 3.2914 | lr 1.64e-04
step  14330 | train_loss 3.2424 | lr 1.64e-04
step  14331 | train_loss 3.2036 | lr 1.64e-04
step  14332 | train_loss 3.2844 | lr 1.64e-04
step  14333 | train_loss 3.2475 | lr 1.64e-04
step  14334 | train_loss 3.2490 | lr 1.64e-04
step  14335 | train_loss 3.2401 | lr 1.64e-04
step  14336 | train_loss 3.2191 | lr 1.64e-04
step  14337 | train_loss 3.2391 | lr 1.64e-04
step  14338 | train_loss 3.1964 | lr 1.64e-04
step  14339 | train_loss 3.2775 | lr 1.64e-04
step  14340 | train_loss 3.2378 | lr 1.64e-04
step  14341 | train_loss 3.1961 | lr 1.64e-04
step  14342 | train_loss 3.2522 | lr 1.64e-04
step  14343 | train_loss 3.2798 | lr 1.64e-04
step  14344 | train_loss 3.2411 | lr 1.64e-04
step  14345 | train_loss 3.2235 | lr 1.64e-04
step  14346 | train_loss 3.2222 | lr 1.64e-04
step  14347 | train_loss 3.2893 | lr 1.63e-04
step  14348 | train_loss 3.2066 | lr 1.63e-04
step  14349 | train_loss 3.2679 | lr 1.63e-04
step  14350 | train_loss 3.2582 | lr 1.63e-04
step  14351 | train_loss 3.2834 | lr 1.63e-04
step  14352 | train_loss 3.2329 | lr 1.63e-04
step  14353 | train_loss 3.1997 | lr 1.63e-04
step  14354 | train_loss 3.2433 | lr 1.63e-04
step  14355 | train_loss 3.2860 | lr 1.63e-04
step  14356 | train_loss 3.2735 | lr 1.63e-04
step  14357 | train_loss 3.2359 | lr 1.63e-04
step  14358 | train_loss 3.2760 | lr 1.63e-04
step  14359 | train_loss 3.2484 | lr 1.63e-04
step  14360 | train_loss 3.2465 | lr 1.63e-04
step  14361 | train_loss 3.2240 | lr 1.63e-04
step  14362 | train_loss 3.2697 | lr 1.63e-04
step  14363 | train_loss 3.2763 | lr 1.63e-04
step  14364 | train_loss 3.2238 | lr 1.63e-04
step  14365 | train_loss 3.2544 | lr 1.63e-04
step  14366 | train_loss 3.2411 | lr 1.63e-04
step  14367 | train_loss 3.2677 | lr 1.63e-04
step  14368 | train_loss 3.2576 | lr 1.63e-04
step  14369 | train_loss 3.2290 | lr 1.63e-04
step  14370 | train_loss 3.2507 | lr 1.63e-04
step  14371 | train_loss 3.2644 | lr 1.63e-04
step  14372 | train_loss 3.2068 | lr 1.63e-04
step  14373 | train_loss 3.2419 | lr 1.63e-04
step  14374 | train_loss 3.1845 | lr 1.63e-04
step  14375 | train_loss 3.2631 | lr 1.63e-04
step  14376 | train_loss 3.2595 | lr 1.63e-04
step  14377 | train_loss 3.2620 | lr 1.62e-04
step  14378 | train_loss 3.2885 | lr 1.62e-04
step  14379 | train_loss 3.1969 | lr 1.62e-04
step  14380 | train_loss 3.2467 | lr 1.62e-04
step  14381 | train_loss 3.2893 | lr 1.62e-04
step  14382 | train_loss 3.2505 | lr 1.62e-04
step  14383 | train_loss 3.2072 | lr 1.62e-04
step  14384 | train_loss 3.2871 | lr 1.62e-04
step  14385 | train_loss 3.2293 | lr 1.62e-04
step  14386 | train_loss 3.2252 | lr 1.62e-04
step  14387 | train_loss 3.2321 | lr 1.62e-04
step  14388 | train_loss 3.2291 | lr 1.62e-04
step  14389 | train_loss 3.2673 | lr 1.62e-04
step  14390 | train_loss 3.1935 | lr 1.62e-04
step  14391 | train_loss 3.2393 | lr 1.62e-04
step  14392 | train_loss 3.2465 | lr 1.62e-04
step  14393 | train_loss 3.2683 | lr 1.62e-04
step  14394 | train_loss 3.2598 | lr 1.62e-04
step  14395 | train_loss 3.2425 | lr 1.62e-04
step  14396 | train_loss 3.2142 | lr 1.62e-04
step  14397 | train_loss 3.2845 | lr 1.62e-04
step  14398 | train_loss 3.1981 | lr 1.62e-04
step  14399 | train_loss 3.2326 | lr 1.62e-04
step  14400 | train_loss 3.2029 | lr 1.62e-04
step  14401 | train_loss 3.2066 | lr 1.62e-04
step  14402 | train_loss 3.2911 | lr 1.62e-04
step  14403 | train_loss 3.2255 | lr 1.62e-04
step  14404 | train_loss 3.2128 | lr 1.62e-04
step  14405 | train_loss 3.2181 | lr 1.62e-04
step  14406 | train_loss 3.2515 | lr 1.61e-04
step  14407 | train_loss 3.2540 | lr 1.61e-04
step  14408 | train_loss 3.2784 | lr 1.61e-04
step  14409 | train_loss 3.2457 | lr 1.61e-04
step  14410 | train_loss 3.3041 | lr 1.61e-04
step  14411 | train_loss 3.2495 | lr 1.61e-04
step  14412 | train_loss 3.2907 | lr 1.61e-04
step  14413 | train_loss 3.2518 | lr 1.61e-04
step  14414 | train_loss 3.2354 | lr 1.61e-04
step  14415 | train_loss 3.2060 | lr 1.61e-04
step  14416 | train_loss 3.2662 | lr 1.61e-04
step  14417 | train_loss 3.2283 | lr 1.61e-04
step  14418 | train_loss 3.2653 | lr 1.61e-04
step  14419 | train_loss 3.2514 | lr 1.61e-04
step  14420 | train_loss 3.2727 | lr 1.61e-04
step  14421 | train_loss 3.2634 | lr 1.61e-04
step  14422 | train_loss 3.2582 | lr 1.61e-04
step  14423 | train_loss 3.2710 | lr 1.61e-04
step  14424 | train_loss 3.2158 | lr 1.61e-04
